Capital City of  United Arab Emirates ,Beirut,Abu Dhabi,Jamestown,Doha,2
The great Victoria Desert is located in,Canada,West Africa,Australia,North America,3
Capital City of  Ghana?,Accra,Bridgetown,Castries,Jerusalem,1
What is part of a database that holds only one type of information ,Report,Field,Record,File,2
Capital City of  Algeria?,Algiers,Addis Ababa,St. Pierre,Yamoussoukro,1
Who is the author of the book 'Nineteen Eighty Four ,Thomas Hardy,Emile Zola,George Orwell,Walter Scott,3
The Mau Mau were terrorists in which country late 50s early 60s?,Kenya,Sudan,Malaysia,Ghana,4
What was the name of the atom bomb dropped on Hiroshima?,Little Boy,Bad Boy,Fat Boy,Good Boy,1
Which English Monarch succeeded William III of Orange?,Mary II,James II,James I,Charles II,1
What are the cannibalistic beasts called in H.G. Wells book The Time Machine?,Morlocks,Warlocks,Yahoos,Triffids,1
Whose autobiography was entitled 'The Long Walk To Freedom'?,Nelson Mandela,Mahatma Gandhi,Lenin,Martin Luther King,1
Who does Mr Brownlow rescue?,Oliver Twist,Tom Jones,Huckleberry Finn,Tom Brown,1
In which book is there an inn called Admiral Benbow?,Treasure Island,Peter Pan,Lord of the Rings,Gullivers Travels,1
In the book The Last Of The Mohicans what was the name of Chingachgook's only son?,Uncas,Mingo,Lightfoot,Magua,1
In which Italian city do Romeo and Juliet live?,Verona,Naples,Milano,Pisa,1
Who managed the punk group The Sex Pistols?,Malcolm McClaren,John Lydon,Sid Vicious,They were unmanagable,1
Barry Manilow had a hit with which song?,Mandy,Randy,Candy,Dandy,1
Which ship was a hit for the Beach Boys?,Sloop John B.,Proud Mary,Mississippi Quenn,Rainbow Warrior,1
Who appeared a record 106 times on Top Of The Pops?,Status Quo,Adam and the Ants,T-Rex,The England World Cup Squad,1
What was a hit for the Pretenders?,Stop your sobbing,Crying in the rain,Tears on my pillow,Tears of a clown,1
